"Ticker","Name","Price","Dividend Yield","Market Cap ($M)","P/E Ratio","Payout Ratio","Beta"
"MRO","Marathon Oil Corp.","11.94","1.7","9,600","10.1","16.9","1.54"
"MS","Morgan Stanley","46.84","3.4","76,068","9.9","33.7","1.23"
"MSCI","MSCI, Inc.","225.03","1.1","19,059","33.4","35.9","1.30"
"MSFT","Microsoft Corp.","144.19","1.6","1,099,998","26.9","43.8","1.32"
"MSI","Motorola Solutions, Inc.","162.82","1.4","27,118","25.9","36.3","0.89"
"MTB","M&T Bank Corp.","158.66","2.5","20,990","11.4","28.7","0.83"
"MTD","Mettler-Toledo International, Inc.","701.35","0.0","17,259","32.0","0.0","1.16"
"MU","Micron Technology, Inc.","48.69","0.0","53,902","8.7","0.0","1.96"
"MXIM","Maxim Integrated Products, Inc.","57.98","3.2","15,718","19.2","61.7","1.37"
"MYL","Mylan NV","18.97","0.0","9,786","316.2","0.0","1.51"
"NBL","Noble Energy, Inc.","20.21","2.9","9,665","-10.5","-30.1","1.53"
"NCLH","Norwegian Cruise Line Holdings Ltd.","51.89","0.0","11,187","11.6","0.0","1.13"
"NDAQ","Nasdaq, Inc.","98.73","2.3","16,259","30.9","71.8","0.84"
"NEE","NextEra Energy, Inc.","233.23","2.6","113,997","34.8","91.1","0.22"
"NEM","Newmont Goldcorp Corp.","38.85","4.1","31,852","-285.7","-1,161.8","-0.01"
"NFLX","Netflix, Inc.","281.86","0.0","123,525","87.0","0.0","1.59"
"NI","NiSource, Inc.","27.45","3.6","10,248","90.0","326.2","0.33"
"NKE","NIKE, Inc.","90.85","1.0","141,819","33.1","32.1","1.11"
"NKTR","Nektar Therapeutics","17.70","0.0","3,102","-7.3","0.0","1.62"
"NLSN","Nielsen Holdings Plc","20.95","6.7","7,451","-10.8","-72.2","0.98"
"NOC","Northrop Grumman Corp.","346.53","1.5","58,401","17.8","25.9","0.80"
"NOV","National Oilwell Varco, Inc.","20.96","1.0","8,088","-1.5","-1.4","1.26"
"NRG","NRG Energy, Inc.","40.38","0.4","10,215","22.2","8.2","0.72"
"NSC","Norfolk Southern Corp.","187.76","2.3","48,957","18.2","42.5","1.12"
"NTAP","NetApp, Inc.","55.86","3.2","13,289","14.0","44.3","1.48"
"NTRS","Northern Trust Corp.","102.53","3.1","21,724","15.2","46.6","1.16"
"NUE","Nucor Corp.","54.73","2.9","16,591","9.3","27.3","1.15"
"NVDA","NVIDIA Corp.","206.79","0.3","125,935","45.9","14.2","2.05"
"NWL","Newell Brands, Inc.","19.48","3.5","8,247","-1.2","-4.3","1.04"
"NWS","News Corp.","14.30","1.4","8,410","53.9","75.4","0.96"
"NWSA","News Corp.","13.89","1.4","8,168","52.4","75.4","0.97"
"O","Realty Income Corp.","80.88","3.6","25,738","61.7","223.2","0.35"
"OKE","ONEOK, Inc.","71.18","6.2","29,395","23.4","144.1","0.93"
"OMC","Omnicom Group, Inc.","77.00","3.3","16,765","12.9","42.7","0.70"
"ORCL","Oracle Corp.","54.64","1.7","179,356","17.3","28.8","1.02"
"ORLY","O'Reilly Automotive, Inc.","442.19","0.0","33,486","25.2","0.0","0.59"
"OXY","Occidental Petroleum Corp.","42.28","7.4","37,818","8.4","61.8","0.92"
"PAYX","Paychex, Inc.","84.42","3.5","30,217","28.7","101.5","0.89"
"PBCT","People's United Financial, Inc.","17.00","5.2","6,673","12.9","66.9","0.90"
"PCAR","PACCAR, Inc.","77.51","4.6","26,795","11.1","50.8","1.03"
"PEG","Public Service Enterprise Group, Inc.","62.19","3.0","31,445","21.4","64.1","0.33"
"PEP","PepsiCo, Inc.","136.57","2.8","190,437","15.5","42.7","0.51"
"PFE","Pfizer Inc.","37.28","4.8","206,197","16.7","79.8","0.70"
"PFG","Principal Financial Group, Inc.","55.08","7.9","15,312","10.3","81.5","1.15"
"PG","Procter & Gamble Co.","123.48","2.4","307,935","76.7","183.5","0.51"
"PGR","Progressive Corp.","68.82","4.1","40,232","","","0.93"
"PH","Parker-Hannifin Corp.","190.37","2.2","24,462","16.4","35.7","1.35"
"PHM","PulteGroup, Inc.","39.47","1.1","10,696","12.0","13.4","0.64"
"PKG","Packaging Corporation of America","112.51","2.8","10,650","13.9","39.1","1.08"
"PKI","PerkinElmer, Inc. (United States)","87.38","0.4","9,705","38.3","15.3","1.28"
"PLD","Prologis, Inc.","85.89","2.4","54,260","30.4","73.3","0.70"
"PM","Philip Morris International, Inc.","82.09","5.6","127,722","17.1","95.6","0.60"
"PNC","The PNC Financial Services Group, Inc.","147.77","2.8","64,871","","","0.92"
"PNR","Pentair Plc","41.55","1.7","6,984","20.2","35.0","1.16"
"PNW","Pinnacle West Capital Corp.","92.23","4.0","10,357","20.6","83.2","0.23"
"PPG","PPG Industries, Inc.","123.71","2.0","29,252","24.3","48.3","0.89"
"PPL","PPL Corp.","32.94","5.0","23,790","13.4","66.8","0.35"
"PRGO","Perrigo Co. Plc","53.99","1.5","7,345","83.8","124.2","1.36"
"PRU","Prudential Financial, Inc.","93.12","4.2","37,434","9.3","39.1","1.20"
"PSA","Public Storage","232.60","3.4","40,611","27.7","95.4","0.12"
"PSX","Phillips 66","117.25","3.7","52,645","11.7","43.0","1.07"
"PVH","PVH Corp.","89.67","0.2","6,648","10.0","1.7","1.38"
"PWR","Quanta Services, Inc.","42.08","0.4","5,984","19.0","7.2","1.17"
"PXD","Pioneer Natural Resources Co.","125.55","0.6","20,984","23.6","14.3","1.33"
"PYPL","PayPal Holdings, Inc.","106.60","0.0","125,168","49.4","0.0","1.40"
"QCOM","QUALCOMM, Inc.","83.05","3.7","100,960","29.1","108.8","1.02"
"QRVO","Qorvo, Inc.","80.32","0.0","9,460","48.5","0.0","1.48"
"RCL","Royal Caribbean Cruises Ltd.","112.20","2.6","23,512","12.7","32.6","1.21"
"RE","Everest Re Group Ltd.","247.02","2.3","10,063","24.1","54.7","0.50"
"REG","Regency Centers Corp.","68.08","2.6","11,431","39.8","102.5","0.48"
"REGN","Regeneron Pharmaceuticals, Inc.","308.56","0.0","33,909","16.2","0.0","1.08"
"RF","Regions Financial Corp.","16.52","4.4","15,925","10.9","48.3","1.12"
"RHI","Robert Half International, Inc.","59.19","2.0","6,958","15.2","31.1","1.29"
"RJF","Raymond James Financial, Inc.","84.80","1.6","11,685","11.6","18.5","1.19"
"RL","Ralph Lauren Corp.","97.72","2.7","7,547","17.8","47.8","1.13"
"RMD","ResMed, Inc.","145.45","1.3","20,913","49.8","64.7","0.90"
"ROK","Rockwell Automation, Inc.","176.74","2.2","20,679","20.5","44.9","1.24"
"ROL","Rollins, Inc.","38.00","2.0","12,444","61.1","120.7","0.83"
"ROP","Roper Technologies, Inc.","332.95","0.6","34,627","29.9","16.6","1.05"
"ROST","Ross Stores, Inc.","109.39","0.9","39,569","24.7","22.3","1.07"
"RSG","Republic Services, Inc.","86.04","2.2","27,597","26.5","59.6","0.46"
"RTN","Raytheon Co.","211.61","1.7","58,928","18.1","31.6","0.78"
"SBAC","SBA Communications Corp.","242.51","0.3","27,429","210.9","64.3","0.45"
"SBUX","Starbucks Corp.","83.60","1.7","100,069","29.2","50.3","0.75"
"SCHW","The Charles Schwab Corp.","41.48","2.0","54,221","15.3","29.8","1.21"
"SEE","Sealed Air Corp.","42.04","2.3","6,496","18.0","41.0","0.60"
"SHW","The Sherwin-Williams Co.","578.24","0.9","53,376","38.1","35.5","0.88"
"SIVB","SVB Financial Group","227.28","0.0","11,717","10.4","0.0","1.56"
"SJM","The J. M. Smucker Co.","106.98","6.5","12,200","22.7","147.6","0.26"
"SLB","Schlumberger NV","35.02","7.1","48,481","-4.9","-34.9","1.13"
"SLG","SL Green Realty Corp.","82.26","4.1","7,055","38.5","159.2","0.65"
"SNA","Snap-On, Inc.","166.33","2.3","9,122","13.2","30.2","1.02"
"SNPS","Synopsys, Inc.","137.29","0.0","20,632","32.7","0.0","1.31"
"SO","The Southern Co.","61.01","5.0","63,769","14.3","71.5","0.22"
